UniqueMeasurementID,SampleUniqueID,Date,"DataCollectorName
",Country,StudySiteName,MeanAmbientTemperatureDuringIncubation (°C),MeanAmbientHumidityDuringIncubation (%),ZiplocBagSize,ScaleModel,SampleType,FruitSpeciesName,CommonName,RipenessStage,FruitExteriorCondition,LocationDescription,Handling Classification,NumberFruitsinBag,MeasuredFruitWeight (g for fruit; mL for standards),TotalFruitWeight (g for fruit; mL for standards),HeadspaceInjected (mL),WaterDilutionAmount (mL),IncubationStart,IncubationEnd,IncubationTime (h),BreathalyzerMeasurement,MeasurementRepetition,AmountWholeFruitsFallenOnGround,Comments,PercentEtOHCalculatedfromBreathalyzer
269,176,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"DIgital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,unripe,intact,plant,other,1,8.63,8.63,60,,2020-02-17 12:00,2020-02-17 15:55,3:55,0,Second,Few,,0.0000%
270,177,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"DIgital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,unripe,intact,plant,other,1,8.74,8.74,60,,2020-02-17 12:00,2020-02-17 15:56,3:56,0,Second,Few,,0.0000%
272,183,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",unripe,intact,ground,other,1,6.27,6.27,60,,2020-02-17 12:00,2020-02-17 16:03,4:03,0,Second,Few,,0.0000%
273,184,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,bitten,rejected,rejected,1,6.33,6.33,60,,2020-02-17 12:00,2020-02-17 16:04,4:04,0,Second,Few,,0.0000%
274,185,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Alibertia edulis,Trompillo,ripe,husk,"eaten
",eaten,1,4.89,4.89,60,,2020-02-17 12:00,2020-02-17 16:05,4:05,0.084,Second,Few,,0.2715%
275,186,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,partially eaten,partially eaten,eaten,1,6.2,6.2,60,,2020-02-17 12:00,2020-02-17 16:08,4:08,0.01,Second,Few,,0.0001%
276,187,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,partially eaten,partially eaten,eaten,1,5.21,5.21,60,,2020-02-17 12:00,2020-02-17 16:09,4:09,0,Second,Few,,0.0000%
278,189,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,bitten,rejected,rejected,1,8.2,8.2,60,,2020-02-17 12:00,2020-02-17 16:11,4:11,0,Second,Few,,0.0000%
279,190,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",midripe,cracked,rejected,rejected,1,6.48,6.48,60,,2020-02-17 12:00,2020-02-17 16:12,4:12,0.014,Second,Few,,0.0001%
280,191,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",midripe,intact,ground,other,1,5.51,5.51,60,,2020-02-17 12:00,2020-02-17 16:13,4:13,0.03,Second,Few,,0.0493%
281,192,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",unripe,intact,ground,other,1,6.52,6.52,60,,2020-02-17 12:00,2020-02-17 16:16,4:16,0,Second,Few,,0.0000%
282,193,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,partially eaten,partially eaten,eaten,1,7.09,7.09,60,,2020-02-17 12:00,2020-02-17 16:17,4:17,0,Second,Few,,0.0000%
283,194,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",midripe,intact,ground,other,1,6.04,6.04,60,,2020-02-17 12:00,2020-02-17 16:18,4:18,0.014,Second,Few,,0.0001%
284,195,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",midripe,intact,ground,other,1,6.3,6.3,60,,2020-02-17 12:00,2020-02-17 16:19,4:19,0.012,Second,Few,,0.0001%
285,196,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",unripe,intact,ground,other,1,5.94,5.94,60,,2020-02-17 12:00,2020-02-17 16:20,4:20,0,Second,Few,,0.0000%
286,197,February 17 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 32.1,61.3,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus obtusifolia,"Higuerón, fig",ripe,bitten,rejected,rejected,1,9.87,9.87,60,,2020-02-17 12:00,2020-02-17 16:21,4:21,0,Second,Few,,0.0000%
287,198,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2020-03-10 12:00,2020-03-10 13:30,1:30,0.043,First,,,0.0380%
288,199,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2020-03-10 12:00,2020-03-10 13:36,1:36,0.211,First,,,0.5336%
289,200,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2020-03-10 12:00,2020-03-10 13:40,1:40,0.397,First,,,1.0822%
290,201,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2020-03-10 12:00,2020-03-10 13:41,1:41,0.69,First,,,1.9464%
291,202,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,intact,ground,rejected,4,17.24,17.24,60,,2020-03-10 12:00,2020-03-10 13:44,1:44,0.019,First,Many,,0.0001%
292,203,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,intact,ground,rejected,3,14.13,14.13,60,,2020-03-10 12:00,2020-03-10 13:47,1:47,0.029,First,Many,,0.0001%
293,204,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,unripe,intact,plant,other,1,17.82,17.82,60,,2020-03-10 12:00,2020-03-10 13:51,1:51,0,First,Few,,0.0000%
294,205,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,partially eaten,ground,eaten,2,14.91,14.91,60,,2020-03-10 12:00,2020-03-10 13:54,1:54,0,First,Few,,0.0000%
295,206,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,partially eaten,ground,eaten,1,30.35,30.35,60,,2020-03-10 12:00,2020-03-10 13:56,1:56,0,First,Few,,0.0000%
296,207,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus morazaniana,"Higuerón, fig",ripe,cracked,ground,rejected,3,9.03,9.03,60,,2020-03-10 12:00,2020-03-10 13:59,1:59,0.025,First,Few,,0.0001%
297,208,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus morazaniana,"Higuerón, fig",ripe,cracked,ground,rejected,3,7.6,7.6,60,,2020-03-10 12:00,2020-03-10 14:02,2:02,0.015,First,Few,,0.0001%
298,209,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Alibertia edulis,Trompillo,ripe,cracked,plant,other,2,8.7,8.7,60,,2020-03-10 12:00,2020-03-10 14:04,2:04,0,First,Few,,0.0000%
299,210,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Zuelania guidonia,Plomo,unripe,several small punctures,ground,rejected,1,60.75,60.75,60,,2020-03-10 12:00,2020-03-10 14:06,2:06,0,First,Few,,0.0000%
300,211,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Zuelania guidonia,Plomo,unripe,several small punctures,ground,rejected,1,51.68,51.68,60,,2020-03-10 12:00,2020-03-10 14:08,2:08,0,First,Few,,0.0000%
301,212,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,cracked, dropped by monkey (capuchin),eaten,9,10.38,10.38,60,,2020-03-10 12:00,2020-03-10 14:11,2:11,0,First,Many,,0.0000%
302,213,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Randia monantha,Crucillo,ripe,one large puncture,plant,rejected,3,26.64,26.64,60,,2020-03-10 12:00,2020-03-10 14:13,2:13,0.036,First,Few,,0.0174%
303,214,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Randia monantha,Crucillo,ripe,one large puncture,plant,rejected,2,26.95,26.95,60,,2020-03-10 12:00,2020-03-10 14:15,2:15,0.047,First,Few,,0.0498%
304,215,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Davilla kunthii,Bejuco de fuego,unripe,intact,plant,other,9,5.04,5.04,60,,2020-03-10 12:00,2020-03-10 14:18,2:18,0,First,Many,,0.0000%
307,218,March 10 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.4,73.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Hirtella racemosa,Murta,unripe,intact,plant,other,6,3.51,3.51,60,,2020-03-10 12:00,2020-03-10 14:25,2:25,0,First,Many,,0.0000%
308,198,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2020-03-11 9:00,2020-03-11 10:41,1:41,0.032,Second,,,0.0226%
309,199,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2020-03-11 9:00,2020-03-11 10:42,1:42,0.142,Second,,,0.4975%
310,200,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2020-03-11 9:00,2020-03-11 10:45,1:45,0.314,Second,,,1.2399%
311,201,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2020-03-11 9:00,2020-03-11 10:47,1:47,0.453,Second,,,1.8399%
312,202,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,intact,ground,rejected,4,17.47,17.47,60,,2020-03-11 9:00,2020-03-11 10:48,1:48,0.073,Second,Many,,0.1996%
313,203,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,intact,ground,rejected,3,14.01,14.01,60,,2020-03-11 9:00,2020-03-11 10:50,1:50,0.1,Second,Many,,0.3162%
314,204,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,unripe,intact,plant,other,1,17.74,17.74,60,,2020-03-11 9:00,2020-03-11 10:52,1:52,0,Second,Few,,0.0000%
315,205,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,partially eaten,ground,eaten,2,14.82,14.82,60,,2020-03-11 9:00,2020-03-11 10:54,1:54,0,Second,Few,,0.0000%
316,206,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,partially eaten,ground,eaten,1,30.29,30.29,60,,2020-03-11 9:00,2020-03-11 10:55,1:55,0.034,Second,Few,,0.0313%
317,207,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus morazaniana,"Higuerón, fig",ripe,cracked,ground,rejected,3,9.06,9.06,60,,2020-03-11 9:00,2020-03-11 10:57,1:57,0.045,Second,Few,,0.0787%
318,208,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Ficus morazaniana,"Higuerón, fig",ripe,cracked,ground,rejected,3,7.41,7.41,60,,2020-03-11 9:00,2020-03-11 10:59,1:59,0.016,Second,Few,,0.0001%
319,209,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Alibertia edulis,Trompillo,ripe,cracked,plant,other,2,8.03,8.03,60,,2020-03-11 9:00,2020-03-11 11:01,2:01,0,Second,Few,,0.0000%
320,210,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Zuelania guidonia,Plomo,unripe,several small punctures,ground,rejected,1,60.8,60.8,60,,2020-03-11 9:00,2020-03-11 11:03,2:03,0,Second,Few,,0.0000%
321,211,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Zuelania guidonia,Plomo,unripe,several small punctures,ground,rejected,1,51.53,51.53,60,,2020-03-11 9:00,2020-03-11 11:05,2:05,0,Second,Few,,0.0000%
322,212,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,cracked, dropped by monkey (capuchin),eaten,9,9.59,9.59,60,,2020-03-11 9:00,2020-03-11 11:06,2:06,0,Second,Many,,0.0000%
323,213,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Randia monantha,Crucillo,ripe,one large puncture,plant,rejected,3,27.42,27.42,60,,2020-03-11 9:00,2020-03-11 11:08,2:08,0.05,Second,Few,,0.1003%
324,214,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Randia monantha,Crucillo,ripe,one large puncture,plant,rejected,2,26.82,26.82,60,,2020-03-11 9:00,2020-03-11 11:10,2:10,0.049,Second,Few,,0.0960%
325,215,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Davilla kunthii,Bejuco de fuego,unripe,intact,plant,other,9,5.13,5.13,60,,2020-03-11 9:00,2020-03-11 11:12,2:12,0,Second,Many,,0.0000%
328,218,March 11 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 31.2,72.1,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Hirtella racemosa,Murta,unripe,intact,plant,other,6,3.52,3.52,60,,2020-03-11 9:00,2020-03-11 11:17,2:17,0,Second,Many,,0.0000%
329,219,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2020-03-23 12:00,2020-03-23 13:20,1:20,0.042,First,,,0.0330%
330,220,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2020-03-23 12:00,2020-03-23 13:23,1:23,0.189,First,,,0.5270%
331,221,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2020-03-23 12:00,2020-03-23 13:26,1:26,0.362,First,,,1.1083%
332,222,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2020-03-23 12:00,2020-03-23 13:28,1:28,0.607,First,,,1.9316%
335,225,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Simarouba glauca,Aceituno,ripe,several small punctures,ground,rejected,1,5.38,5.38,60,,2020-03-23 12:00,2020-03-23 13:35,1:35,0,First,Few,,0.0000%
337,227,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Curatella americana,Lengua de vaca,ripe,one large puncture,plant,rejected,Many,6.57,6.57,60,,2020-03-23 12:00,2020-03-23 13:39,1:39,0,First,Many,,0.0000%
338,228,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bursera simaruba,Indio desnudo,unripe,intact,plant,other,7,7,7,60,,2020-03-23 12:00,2020-03-23 13:40,1:40,0,First,Many,,0.0000%
339,229,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bursera simaruba,Indio desnudo,ripe,intact,ground,other,18,3.79,3.79,60,,2020-03-23 12:00,2020-03-23 13:42,1:42,0,First,Many,,0.0000%
340,230,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Vachellia collinsii,"Cornizuelo, acacia",unripe,several small punctures,plant,rejected,4,10.7,10.7,60,,2020-03-23 12:00,2020-03-23 13:44,1:44,0,First,Many,,0.0000%
341,231,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Vachellia collinsii,"Cornizuelo, acacia",ripe,one large puncture,plant,rejected,1,3.4,3.4,60,,2020-03-23 12:00,2020-03-23 13:47,1:47,0,First,Few,,0.0000%
342,232,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,ripe,several small punctures,ground,rejected,5,11.22,11.22,60,,2020-03-23 12:00,2020-03-23 13:49,1:49,0,First,Many,,0.0000%
343,233,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,ripe,intact,ground,other,3,9.23,9.23,60,,2020-03-23 12:00,2020-03-23 13:51,1:51,0,First,Few,,0.0000%
344,234,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,ripe,intact,ground,other,2,6.53,6.53,60,,2020-03-23 12:00,2020-03-23 13:53,1:53,0,First,Few,,0.0000%
345,235,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,ripe,several small punctures,ground,rejected,2,6.14,6.14,60,,2020-03-23 12:00,2020-03-23 13:57,1:57,0.012,First,Few,,0.0001%
346,236,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,unripe,intact,ground,other,2,8.85,8.85,60,,2020-03-23 12:00,2020-03-23 14:01,2:01,0,First,Few,,0.0000%
347,237,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,unripe,intact,ground,other,2,8.12,8.12,60,,2020-03-23 12:00,2020-03-23 14:03,2:03,0,First,Few,,0.0000%
348,238,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias purpurea,Jocote,midripe,intact,ground,other,2,6.6,6.6,60,,2020-03-23 12:00,2020-03-23 14:06,2:06,0,First,Few,,0.0000%
351,241,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Davilla kunthii,Bejuco de fuego,ripe,several small punctures,plant,rejected,5,2.42,2.42,60,,2020-03-23 12:00,2020-03-23 14:13,2:13,0,First,Many,,0.0000%
352,242,March 23 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.2,58,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Sloanea terniflora,Terciopelo,unripe,several small punctures,ground,rejected,7,8.17,8.17,60,,2020-03-23 12:00,2020-03-23 14:15,2:15,,First,Many,,0.0000%
353,219,March 24 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 33.7,48.8,Sandwich (16.5 x 14.9 cm),"Digital  Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2020-03-24 9:00,2020-03-24 11:00,2:00,0.042,Second,,,0.0638%
